code,name,date,volume_shares,volume_dollar,market_value,pb,ps,dividend_yield,f_net,i_net,d_net,t_net,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
1101,台泥,2024-11,309,10213,252965,1.06,2.11,2.99,-2122.0,3057.0,-171.0,764.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1102,亞泥,2024-11,140,6300,149133,0.84,2.02,4.99,-2390.0,161.0,466.0,-1764.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1103,嘉泥,2024-11,5,81,14185,0.66,4.77,2.79,14.0,0.0,-12.0,2.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1104,環泥,2024-11,8,250,20085,0.89,2.5,6.84,-40.0,0.0,-8.0,-47.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1108,幸福,2024-11,7,99,5848,1.19,1.15,6.92,-18.0,0.0,0.0,-18.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1109,信大,2024-11,3,50,6260,0.77,1.1,6.54,43.0,0.0,-4.0,39.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1110,東泥,2024-11,4,93,12184,1.34,5.27,0.94,43.0,0.0,-7.0,36.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1201,味全,2024-11,7,118,9261,1.23,0.41,1.48,-12.0,0.0,-9.0,-21.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1203,味王,2024-11,1,30,10128,1.75,1.59,2.61,-100.0,0.0,-1.0,-101.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1210,大成,2024-11,17,873,47691,2.04,0.45,4.17,8.0,101.0,-23.0,86.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1215,卜蜂,2024-11,5,493,29184,3.15,1.04,5.56,55.0,-36.0,-5.0,14.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1216,統一,2024-11,168,14555,480130,3.87,0.76,3.55,-1885.0,430.0,-14.0,-1470.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1217,愛之味,2024-11,12,147,5885,0.79,1.19,1.93,-146.0,0.0,-11.0,-157.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1218,泰山,2024-11,18,375,10575,0.85,0.94,0.0,-29.0,-1.0,-9.0,-39.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1219,福壽,2024-11,4,71,5739,1.28,0.38,4.76,0.0,0.0,-6.0,-6.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1220,台榮,2024-11,18,318,3028,1.27,0.9,2.34,-9.0,0.0,2.0,-7.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1225,福懋油,2024-11,2,135,18348,5.39,1.34,1.75,-2.0,0.0,-1.0,-3.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1227,佳格,2024-11,9,336,34362,1.98,1.2,3.33,11.0,-1.0,-12.0,-2.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1229,聯華,2024-11,21,1257,100232,2.12,7.66,3.58,-33.0,-2.0,-31.0,-66.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1231,聯華食,2024-11,4,484,32423,5.52,2.89,2.18,9.0,0.0,-3.0,6.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1232,大統益,2024-11,1,201,23436,4.64,1.03,4.51,0.0,1.0,-1.0,0.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1233,天仁,2024-11,0,7,2881,1.98,1.32,2.83,-1.0,0.0,0.0,-1.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1234,黑松,2024-11,2,68,16698,0.91,1.57,4.57,42.0,0.0,-1.0,41.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1235,興泰,2024-11,1,89,23022,7.42,255.72,0.68,-1.0,0.0,0.0,-1.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1236,宏亞,2024-11,1,12,2011,0.8,1.02,2.8,2.0,0.0,0.0,2.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1301,台塑,2024-11,330,14879,263223,0.77,1.33,2.42,-5508.0,53.0,9.0,-5446.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1303,南亞,2024-11,191,7830,306923,0.83,1.2,1.81,-3839.0,71.0,333.0,-3435.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1304,台聚,2024-11,28,386,15216,0.67,0.29,2.73,-736.0,-2.0,-41.0,-779.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
