code,name,date,close,return,volume_shares,volume_dollar,market_value,pb,ps,dividend_yield,f_net,i_net,d_net,t_net,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
1101,台泥,2025-02,35.1,10.204,416,13974,265046,1.07,1.98,2.85,-1115.0,1354.0,-256.0,-18.0,-2.2123,1.7,-2.0706,5.685,5.3502,4.3397,-0.5054
1101,台泥,2025-01,31.85,0.4731,158,4937,240505,0.97,1.8,3.14,-1039.0,379.0,45.0,-615.0,1.9739,1.7,2.1156,-3.2329,-1.3843,0.0655,1.461
1101,台泥,2024-12,31.7,-5.3733,213,6971,239372,0.97,1.79,3.15,-4306.0,511.0,-117.0,-3912.0,3.4963,1.7,3.638,-1.7071,-8.1983,-3.0831,-0.5792
1101,台泥,2024-11,33.5,4.8515,309,10213,252965,1.06,2.11,2.99,-2122.0,3057.0,-171.0,764.0,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
1101,台泥,2024-10,31.95,-5.4734,188,6143,241260,1.01,2.01,3.13,-196.0,715.0,44.0,563.0,2.5532,1.7,2.6949,-4.4637,-3.6237,-1.4999,0.7101
1101,台泥,2024-09,33.8,2.5797,263,8527,255230,1.07,2.35,2.96,16241.0,362.0,773.0,17376.0,-0.1467,1.7,-0.005,0.4803,2.5317,-0.9325,1.9665
1101,台泥,2024-08,32.95,-4.9063,380,12710,248811,1.04,2.29,3.03,732.0,330.0,-30.0,1032.0,0.4629,1.7,0.6046,1.3396,-2.5492,-0.2152,0.7898
1101,台泥,2024-07,34.65,4.3356,389,13366,261648,1.1,2.41,2.89,3219.0,77.0,27.0,3323.0,-2.7868,1.7,-2.6451,1.9134,3.2262,1.7592,2.9994
1101,台泥,2024-06,33.2,3.6362,313,10592,258250,1.08,2.38,2.92,3854.0,2803.0,495.0,7152.0,9.0494,1.7,9.1911,-4.0879,-6.4287,-6.4526,-0.0161
1101,台泥,2024-05,32.04,2.9644,486,16246,249189,1.12,2.16,3.03,-898.0,1451.0,60.0,613.0,3.6518,1.7,3.7935,2.8001,3.2447,1.0145,3.8289
1101,台泥,2024-04,31.11,-0.3112,411,13306,242015,1.09,2.09,3.12,-4579.0,-15.0,-180.0,-4773.0,0.4211,1.7,0.5628,3.6405,5.7579,-0.467,0.8714
1101,台泥,2024-03,31.21,0.1555,348,11017,242771,1.09,2.1,3.11,4902.0,-299.0,-715.0,3888.0,7.1463,1.7,7.288,-5.6481,2.0732,0.7519,3.7861
1101,台泥,2024-02,31.16,0.6269,184,5912,242393,1.09,2.1,1.56,-5496.0,501.0,325.0,-4670.0,5.8546,1.575,5.9859,2.3424,-3.7608,0.4987,1.4672
1101,台泥,2024-01,30.97,-8.4647,247,8127,240883,1.08,2.08,1.57,-1196.0,-7.0,28.0,-1176.0,-0.2977,1.575,-0.1664,0.2066,-2.9111,-0.0792,1.8046
1101,台泥,2023-12,33.83,-0.2859,255,8791,263159,1.18,2.28,1.43,637.0,-100.0,-334.0,203.0,2.8933,1.575,3.0246,-1.6848,1.899,3.1848,1.3535
1101,台泥,2023-11,33.93,8.3721,600,20142,263914,1.23,2.2,1.43,-483.0,8159.0,-47.0,7630.0,8.7955,1.575,8.9268,1.5094,-1.8048,-0.2807,1.7173
1101,台泥,2023-10,31.31,-3.0073,521,16840,243526,1.14,2.03,1.55,-1524.0,800.0,-861.0,-1585.0,-2.2733,1.575,-2.142,0.027,0.7713,1.1849,1.9526
1101,台泥,2023-09,32.28,-4.8641,483,16489,237943,1.08,2.03,1.5,-5395.0,256.0,-35.0,-5174.0,-1.5878,1.575,-1.4565,1.6902,2.0887,2.8468,1.7541
1101,台泥,2023-08,33.93,-6.3004,423,15132,250109,1.14,2.13,1.43,-8742.0,34.0,42.0,-8666.0,-2.7053,1.575,-2.574,0.3534,0.6656,3.8978,1.6645
1101,台泥,2023-07,36.21,-0.6308,379,14052,266926,1.21,2.28,1.34,1368.0,-58.0,106.0,1416.0,2.2632,1.575,2.3945,-2.6157,2.544,6.1699,4.1524
1101,台泥,2023-06,36.44,0.3955,335,12882,272293,1.24,2.32,1.31,-2276.0,-798.0,-29.0,-3103.0,3.3403,1.575,3.4716,1.1747,-1.1151,-1.5369,-2.8468
1101,台泥,2023-05,36.29,-2.0669,607,23329,271219,1.35,2.48,1.32,-8218.0,-5072.0,1588.0,-11703.0,6.3721,1.575,6.5034,-2.1868,-2.2183,-1.3623,-0.4202
1101,台泥,2023-04,37.06,6.3186,484,18487,276944,1.38,2.53,1.29,-4790.0,15.0,-3.0,-4778.0,-1.865,1.575,-1.7337,3.0138,2.8233,2.366,0.3995
1101,台泥,2023-03,34.86,-7.0243,445,16497,260485,1.29,2.38,1.37,1843.0,-590.0,-144.0,1109.0,2.4791,1.575,2.6104,1.4763,-2.4562,-0.666,-3.1274
1101,台泥,2023-02,37.49,8.0001,373,14095,280165,1.39,2.56,5.11,-322.0,696.0,-388.0,-14.0,1.4299,1.45,1.5507,4.8204,-1.8489,0.8888,-1.1926
1101,台泥,2023-01,34.71,7.7264,294,10452,259412,1.29,2.37,5.52,-7774.0,20.0,189.0,-7566.0,7.782,1.45,7.9028,-2.2085,-5.3685,-4.1222,-0.779
1101,台泥,2022-12,32.22,-0.7373,679,22996,240806,1.2,2.2,5.94,-1107.0,8.0,140.0,-958.0,-4.9165,1.45,-4.7957,2.4537,1.7512,2.199,2.4636
1101,台泥,2022-11,32.46,12.066,696,22898,242595,1.21,2.31,5.9,2324.0,-4443.0,290.0,-1829.0,14.7201,1.325,14.8305,-1.1569,-8.5587,-7.6687,-6.4976
1101,台泥,2022-10,28.97,-10.503,659,21223,216475,1.08,2.06,6.61,-5373.0,80.0,42.0,-5250.0,-3.5537,1.325,-3.4433,-1.2359,2.2647,4.6234,2.3258
1101,台泥,2022-09,32.37,-13.995,738,27605,227683,1.06,2.11,5.92,-10364.0,950.0,922.0,-8492.0,-10.8649,1.325,-10.7545,0.4826,4.1263,2.645,-0.3702
1101,台泥,2022-08,37.63,1.4194,339,13287,264732,1.23,2.45,5.09,1699.0,414.0,438.0,2551.0,1.0578,1.2,1.1578,5.3849,0.5457,-1.8025,-1.6034
1101,台泥,2022-07,37.11,10.4809,417,16603,261053,1.22,2.42,5.16,-3820.0,811.0,23.0,-2986.0,2.9838,1.2,3.0838,0.3775,-2.2731,-3.2132,-0.7454
1101,台泥,2022-06,33.56,-7.2768,406,16348,241947,1.13,2.24,5.06,5531.0,1959.0,1097.0,8588.0,-10.4572,1.2,-10.3572,2.2569,5.1123,0.1917,-2.3194
1101,台泥,2022-05,36.19,-7.1895,488,20687,260935,1.29,2.39,4.69,-6519.0,2965.0,-280.0,-3835.0,1.1295,1.045,1.2166,0.6781,-4.1318,-4.4851,-5.22
1101,台泥,2022-04,39.0,-8.0161,358,16873,281148,1.39,2.58,4.36,-1784.0,449.0,141.0,-1194.0,-6.2044,1.045,-6.1173,0.9463,3.2416,4.2114,1.8762
1101,台泥,2022-03,42.4,5.3854,287,13903,305649,1.52,2.8,6.75,4923.0,193.0,229.0,5345.0,0.3769,1.045,0.464,1.1417,4.2121,2.1969,2.6449
1101,台泥,2022-02,40.23,1.0672,148,6980,290030,1.44,2.66,7.12,-7561.0,1720.0,670.0,-5170.0,-0.0653,0.795,0.001,1.4316,1.004,0.8745,-3.0961
1101,台泥,2022-01,39.81,-2.3957,186,8784,286967,1.42,2.63,7.19,-1057.0,194.0,613.0,-250.0,-2.91,0.795,-2.8437,-3.7756,1.2561,2.3666,7.1058
1101,台泥,2021-12,40.78,4.3479,225,10622,294011,1.46,2.7,7.02,398.0,-22.0,-47.0,329.0,4.6015,0.795,4.6677,1.0993,-0.0501,-0.6189,-1.3322
1101,台泥,2021-11,39.08,-4.663,302,14392,281751,1.3,2.52,7.33,-10758.0,2522.0,38.0,-8198.0,2.4868,0.795,2.553,1.4922,-0.0696,-0.6953,-2.2886
1101,台泥,2021-10,40.99,-5.392,273,13449,295533,1.36,2.64,6.98,-4688.0,261.0,64.0,-4363.0,0.1504,0.795,0.2166,1.8327,-0.8063,-0.0696,0.2248
1101,台泥,2021-09,43.33,5.2631,349,17509,312334,1.48,2.73,6.61,1397.0,1705.0,509.0,3611.0,-2.935,0.795,-2.8687,0.8973,4.5236,2.4081,0.5267
1101,台泥,2021-08,41.16,-1.3721,597,29668,296687,1.41,2.59,6.96,4283.0,2.0,91.0,4376.0,2.2434,0.795,2.3096,-4.4319,1.7141,-1.3917,0.9976
1101,台泥,2021-07,41.74,3.1374,506,26314,322100,1.53,2.81,6.41,1949.0,331.0,-221.0,2059.0,-2.0646,0.795,-1.9983,3.2831,0.0327,0.8658,3.7766
1101,台泥,2021-06,40.47,-1.1627,308,15818,312303,1.47,2.7,6.86,-391.0,-1100.0,33.0,-1459.0,4.325,0.795,4.3912,2.0436,-1.7972,-3.7563,-10.7262
1101,台泥,2021-05,40.95,-0.9599,878,44347,312599,1.62,2.66,6.78,5836.0,-38.0,148.0,5946.0,-2.8645,0.795,-2.7983,-4.7365,-0.817,1.4199,1.8278
