code,name,date,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
Y9999,上市,2025-02,-2.2123,1.7,-2.0706,5.685,5.3502,4.3397,-0.5054
Y9999,上市,2025-01,1.9739,1.7,2.1156,-3.2329,-1.3843,0.0655,1.461
Y9999,上市,2024-12,3.4963,1.7,3.638,-1.7071,-8.1983,-3.0831,-0.5792
Y9999,上市,2024-11,-2.5685,1.7,-2.4268,0.6305,-1.0838,1.8029,3.2086
Y9999,上市,2024-10,2.5532,1.7,2.6949,-4.4637,-3.6237,-1.4999,0.7101
Y9999,上市,2024-09,-0.1467,1.7,-0.005,0.4803,2.5317,-0.9325,1.9665
Y9999,上市,2024-08,0.4629,1.7,0.6046,1.3396,-2.5492,-0.2152,0.7898
Y9999,上市,2024-07,-2.7868,1.7,-2.6451,1.9134,3.2262,1.7592,2.9994
Y9999,上市,2024-06,9.0494,1.7,9.1911,-4.0879,-6.4287,-6.4526,-0.0161
Y9999,上市,2024-05,3.6518,1.7,3.7935,2.8001,3.2447,1.0145,3.8289
Y9999,上市,2024-04,0.4211,1.7,0.5628,3.6405,5.7579,-0.467,0.8714
Y9999,上市,2024-03,7.1463,1.7,7.288,-5.6481,2.0732,0.7519,3.7861
Y9999,上市,2024-02,5.8546,1.575,5.9859,2.3424,-3.7608,0.4987,1.4672
Y9999,上市,2024-01,-0.2977,1.575,-0.1664,0.2066,-2.9111,-0.0792,1.8046
Y9999,上市,2023-12,2.8933,1.575,3.0246,-1.6848,1.899,3.1848,1.3535
Y9999,上市,2023-11,8.7955,1.575,8.9268,1.5094,-1.8048,-0.2807,1.7173
Y9999,上市,2023-10,-2.2733,1.575,-2.142,0.027,0.7713,1.1849,1.9526
Y9999,上市,2023-09,-1.5878,1.575,-1.4565,1.6902,2.0887,2.8468,1.7541
Y9999,上市,2023-08,-2.7053,1.575,-2.574,0.3534,0.6656,3.8978,1.6645
Y9999,上市,2023-07,2.2632,1.575,2.3945,-2.6157,2.544,6.1699,4.1524
Y9999,上市,2023-06,3.3403,1.575,3.4716,1.1747,-1.1151,-1.5369,-2.8468
Y9999,上市,2023-05,6.3721,1.575,6.5034,-2.1868,-2.2183,-1.3623,-0.4202
Y9999,上市,2023-04,-1.865,1.575,-1.7337,3.0138,2.8233,2.366,0.3995
Y9999,上市,2023-03,2.4791,1.575,2.6104,1.4763,-2.4562,-0.666,-3.1274
Y9999,上市,2023-02,1.4299,1.45,1.5507,4.8204,-1.8489,0.8888,-1.1926
Y9999,上市,2023-01,7.782,1.45,7.9028,-2.2085,-5.3685,-4.1222,-0.779
Y9999,上市,2022-12,-4.9165,1.45,-4.7957,2.4537,1.7512,2.199,2.4636
Y9999,上市,2022-11,14.7201,1.325,14.8305,-1.1569,-8.5587,-7.6687,-6.4976
Y9999,上市,2022-10,-3.5537,1.325,-3.4433,-1.2359,2.2647,4.6234,2.3258
Y9999,上市,2022-09,-10.8649,1.325,-10.7545,0.4826,4.1263,2.645,-0.3702
Y9999,上市,2022-08,1.0578,1.2,1.1578,5.3849,0.5457,-1.8025,-1.6034
Y9999,上市,2022-07,2.9838,1.2,3.0838,0.3775,-2.2731,-3.2132,-0.7454
Y9999,上市,2022-06,-10.4572,1.2,-10.3572,2.2569,5.1123,0.1917,-2.3194
Y9999,上市,2022-05,1.1295,1.045,1.2166,0.6781,-4.1318,-4.4851,-5.22
Y9999,上市,2022-04,-6.2044,1.045,-6.1173,0.9463,3.2416,4.2114,1.8762
Y9999,上市,2022-03,0.3769,1.045,0.464,1.1417,4.2121,2.1969,2.6449
Y9999,上市,2022-02,-0.0653,0.795,0.001,1.4316,1.004,0.8745,-3.0961
Y9999,上市,2022-01,-2.91,0.795,-2.8437,-3.7756,1.2561,2.3666,7.1058
Y9999,上市,2021-12,4.6015,0.795,4.6677,1.0993,-0.0501,-0.6189,-1.3322
Y9999,上市,2021-11,2.4868,0.795,2.553,1.4922,-0.0696,-0.6953,-2.2886
Y9999,上市,2021-10,0.1504,0.795,0.2166,1.8327,-0.8063,-0.0696,0.2248
Y9999,上市,2021-09,-2.935,0.795,-2.8687,0.8973,4.5236,2.4081,0.5267
Y9999,上市,2021-08,2.2434,0.795,2.3096,-4.4319,1.7141,-1.3917,0.9976
Y9999,上市,2021-07,-2.0646,0.795,-1.9983,3.2831,0.0327,0.8658,3.7766
Y9999,上市,2021-06,4.325,0.795,4.3912,2.0436,-1.7972,-3.7563,-10.7262
Y9999,上市,2021-05,-2.8645,0.795,-2.7983,-4.7365,-0.817,1.4199,1.8278
Y9999,上市,2021-04,7.0657,0.795,7.1319,0.7238,15.203,-2.2267,-4.4388
Y9999,上市,2021-03,3.0917,0.795,3.158,3.8937,6.5731,2.518,1.5854
Y9999,上市,2021-02,5.3468,0.795,5.4131,3.3283,2.7193,-0.4147,0.4469
Y9999,上市,2021-01,2.609,0.795,2.6753,-7.7989,-6.0934,1.9336,2.2302
Y9999,上市,2020-12,7.4394,0.795,7.5056,-4.2572,3.9893,1.4106,-1.7108
Y9999,上市,2020-11,9.3275,0.795,9.3937,-1.4482,1.3672,0.3796,-1.1068
Y9999,上市,2020-10,0.2043,0.795,0.2705,0.8654,1.6265,0.084,-0.2344
Y9999,上市,2020-09,-0.394,0.795,-0.3277,-1.282,0.8542,1.0586,-0.0453
Y9999,上市,2020-08,-0.0977,0.795,-0.0314,6.7903,4.322,-3.2478,-1.7003
Y9999,上市,2020-07,10.5466,0.795,10.6128,-5.6745,-8.5766,-2.3734,-2.6868
Y9999,上市,2020-06,6.6794,0.795,6.7456,-0.8463,2.0303,-3.1581,-3.0295
Y9999,上市,2020-05,-0.5231,0.795,-0.4568,5.5131,0.2825,-2.023,-3.2329
Y9999,上市,2020-04,13.1776,0.795,13.2439,5.1231,2.1551,-3.6078,1.5251
Y9999,上市,2020-03,-13.8962,0.795,-13.8299,-2.5768,-1.9008,2.7937,-2.444
Y9999,上市,2020-02,-1.8544,1.045,-1.7673,0.2687,-0.1975,-0.0559,0.3059
Y9999,上市,2020-01,-4.3368,1.045,-4.2497,-0.5317,0.0889,0.5701,0.6889
Y9999,上市,2019-12,4.476,1.045,4.5631,-0.5966,-1.2554,-0.0018,0.7801
Y9999,上市,2019-11,1.0799,1.045,1.167,-1.653,3.0429,0.5176,1.1994
Y9999,上市,2019-10,4.7426,1.045,4.8297,-2.4793,-1.7921,-2.3154,-0.9687
Y9999,上市,2019-09,2.1216,1.045,2.2087,-1.1508,-0.6338,-1.0263,-0.0242
Y9999,上市,2019-08,-1.2756,1.045,-1.1885,2.3744,-2.3,-2.1568,-2.3096
Y9999,上市,2019-07,2.9402,1.045,3.0273,1.3773,-0.1364,-0.5682,-1.1494
Y9999,上市,2019-06,3.1412,1.045,3.2283,-1.4266,-0.3527,0.2255,0.5126
Y9999,上市,2019-05,-4.3307,1.045,-4.2436,1.5132,2.29,5.0116,-2.6602
Y9999,上市,2019-04,2.9774,1.045,3.0645,-2.1885,1.5637,-2.8439,2.6017
Y9999,上市,2019-03,2.3039,1.045,2.391,0.5367,-2.3181,1.3575,-0.296
Y9999,上市,2019-02,4.4682,1.045,4.5553,0.051,-1.787,-1.2336,-1.4916
Y9999,上市,2019-01,1.9631,1.045,2.0502,0.2207,-0.259,0.1011,-0.6933
Y9999,上市,2018-12,-1.6912,1.045,-1.6041,1.8053,-2.378,1.6171,1.1776
Y9999,上市,2018-11,0.4839,1.045,0.571,5.9782,2.0302,-3.2653,-2.6018
Y9999,上市,2018-10,-11.0974,1.045,-11.0103,-1.6308,0.1,4.5312,2.2332
Y9999,上市,2018-09,-0.4589,1.045,-0.3718,-1.651,1.2423,5.0416,1.6915
Y9999,上市,2018-08,0.7661,1.045,0.8532,-1.2359,2.6651,3.6776,2.1085
Y9999,上市,2018-07,4.1486,1.045,4.2357,-5.5955,0.2727,2.4566,3.1348
Y9999,上市,2018-06,0.574,1.045,0.6611,1.2502,-2.6349,0.7967,-2.0411
Y9999,上市,2018-05,2.0594,1.045,2.1465,1.6561,-1.5944,-2.7146,-2.4459
Y9999,上市,2018-04,-2.4217,1.045,-2.3346,0.1772,3.7877,0.3638,-0.2213
Y9999,上市,2018-03,0.8247,1.045,0.9118,2.4225,-1.6973,1.139,1.3729
Y9999,上市,2018-02,-2.6902,1.045,-2.6031,1.3237,-0.2636,1.3399,0.801
