code,name,date,close,return
1101,台泥,2024-12,31.7,-5.3733
1102,亞泥,2024-12,40.4,-3.9241
1103,嘉泥,2024-12,17.0,-5.2926
1104,環泥,2024-12,28.6,-2.222
1108,幸福,2024-12,14.45,0.0
1109,信大,2024-12,17.7,-3.5424
1110,東泥,2024-12,20.5,-3.7559
1201,味全,2024-12,17.9,-2.1858
1203,味王,2024-12,39.95,-5.3317
1210,大成,2024-12,51.5,-3.3773
1215,卜蜂,2024-12,90.3,-8.7878
1216,統一,2024-12,80.9,-4.2604
1217,愛之味,2024-12,11.7,-1.6808
1218,泰山,2024-12,19.75,-6.6193
1219,福壽,2024-12,15.2,-9.5237
1220,台榮,2024-12,17.85,4.3859
1225,福懋油,2024-12,40.95,-48.7485
1227,佳格,2024-12,36.65,-2.3969
1229,聯華,2024-12,50.7,-13.4813
1231,聯華食,2024-12,138.5,15.8995
1232,大統益,2024-12,147.0,0.3412
1233,天仁,2024-12,30.15,-5.1887
1234,黑松,2024-12,41.1,-1.083
1235,興泰,2024-12,74.5,-49.1468
1236,宏亞,2024-12,22.75,-1.9396
1301,台塑,2024-12,35.5,-14.1476
1303,南亞,2024-12,29.9,-22.7391
1304,台聚,2024-12,10.75,-16.0156
1305,華夏,2024-12,11.95,-11.8082
1307,三芳,2024-12,36.85,-8.3332
1308,亞聚,2024-12,13.6,-15.5282
1309,台達化,2024-12,13.7,-15.1703
1310,台苯,2024-12,9.54,-16.6812
1312,國喬,2024-12,10.45,-8.7336
1313,聯成,2024-12,8.91,-16.3379
1314,中石化,2024-12,7.35,-9.8159
1315,達新,2024-12,69.9,-0.5689
1316,上曜,2024-12,14.51,4.1667
1319,東陽,2024-12,112.0,-5.4852
1321,大洋,2024-12,32.7,-0.7586
1323,永裕,2024-12,24.4,-5.7916
1324,地球,2024-12,12.7,-0.3921
1325,恒大,2024-12,28.9,7.2356
1326,台化,2024-12,27.3,-19.3501
1402,遠東新,2024-12,31.6,-5.3891
1409,新纖,2024-12,14.75,-8.0997
1410,南染,2024-12,35.5,-3.2697
1413,宏洲,2024-12,10.9,0.4606
1417,嘉裕,2024-12,9.77,-1.6114
1418,東華,2024-12,28.3,1.4335
1419,新紡,2024-12,44.2,-2.8574
1423,利華,2024-12,36.8,-0.1357
1434,福懋,2024-12,18.35,-9.3827
1436,華友聯,2024-12,124.0,-0.8001
1437,勤益控,2024-12,33.6,-1.8978
1439,雋揚,2024-12,32.25,4.8781
1440,南紡,2024-12,14.05,-7.5657
1441,大東,2024-12,14.25,-1.7241
1442,名軒,2024-12,76.1,-6.5111
1443,立益物流,2024-12,31.35,-3.9815
1444,力麗,2024-12,8.86,-3.486
1445,大宇,2024-12,16.65,-3.1977
1446,宏和,2024-12,40.65,-25.8212
1447,力鵬,2024-12,7.12,-8.2476
1451,年興,2024-12,19.6,-5.7691
1452,宏益,2024-12,15.35,-4.0625
1453,大將,2024-12,14.85,-4.8077
1454,台富,2024-12,14.9,-7.74
1455,集盛,2024-12,9.78,-2.1998
1456,怡華,2024-12,15.35,-13.2769
1457,宜進,2024-12,19.65,0.0001
1459,聯發,2024-12,10.0,0.705
1460,宏遠,2024-12,7.2,1.5515
1463,強盛新,2024-12,24.9,-0.2004
1464,得力,2024-12,16.65,7.074
1466,聚隆,2024-12,11.65,-16.4874
1467,南緯,2024-12,10.35,-4.1667
1468,昶和,2024-12,13.25,-8.6208
1470,大統新創,2024-12,22.2,4.9646
1471,首利,2024-12,13.3,-11.0366
1472,三洋實業,2024-12,63.5,-1.244
1473,台南,2024-12,35.3,-0.5634
1474,弘裕,2024-12,12.55,-5.6391
1475,業旺,2024-12,56.3,-3.596
1476,儒鴻,2024-12,509.0,-3.9624
1477,聚陽,2024-12,321.0,0.156
1503,士電,2024-12,192.0,-3.2745
1504,東元,2024-12,52.2,-1.6949
1506,正道,2024-12,13.0,-2.2556
1512,瑞利,2024-12,6.98,-0.5696
1513,中興電,2024-12,154.0,-2.5316
1514,亞力,2024-12,100.5,-7.7979
1515,力山,2024-12,30.25,-3.6623
1516,川飛,2024-12,17.9,0.5619
1517,利奇,2024-12,13.85,-2.1201
1519,華城,2024-12,563.0,2.3639
